"_SITE_TITLE";"Social Network"
"{item:$subject} has requested to follow you.";"{item:$subject} has requested to follow you."
"You are now following {item:$subject}.";"You are now following {item:$subject}."
"{item:$subject} is now following you.";"{item:$subject} is now following you."
"{item:$subject} tagged you in a {item:$object:$label}.";"{item:$subject} ti ha taggato in {item:$object:$label}."
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_TITLE";"Friend Approved"
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_DESCRIPTION";"This is the email that gets sent to a member when their friendship request have been approved."
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_SUBJECT";"[sender_title] ha accettato la tua amicizia."
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_BODY";"[header]

[sender_title] ha accettato la tua amicizia. Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_TITLE";"Friend Follow"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_DESCRIPTION";"This is the email that gets sent to a member when another member starts following them."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_SUBJECT";"[sender_title] ha cominciato a seguire le tue attività"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_BODY";"[header]

[sender_title] ha iniziato a seguirti. Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_TITLE";"Follow Approved"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_DESCRIPTION";"This is the email that gets sent to a member when their follow request have been approved."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_SUBJECT";"[sender_title] ha accettato la tua richiesta di seguire le sue attività"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_BODY";"[header]

Hai deciso di seguire le attività di [sender_title] che ti ha approvato. Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_TITLE";"Follow Request"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_DESCRIPTION";"This is the email that gets sent to a member when they are requested to be followed by another member."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_SUBJECT";"[sender_title] ha chiesto di seguire tutte le tue attività"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_BODY";"[header]

[sender_title] ha chiesto di seguire le tue attività. Clicca sul seguente link per accettare o ignorare questa richiesta:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_FRIEND_REQUEST_TITLE";"Richiesta d'amicizia"
"_EMAIL_NOTIFY_FRIEND_REQUEST_DESCRIPTION";"This is the email that gets sent to a member when they are requested to be a friend by another member."
"_EMAIL_NOTIFY_FRIEND_REQUEST_SUBJECT";"[sender_title] ti ha aggiunto come amico"
"_EMAIL_NOTIFY_FRIEND_REQUEST_BODY";"[header]

[sender_title] ti ha aggiunto come amico. Clicca sul seguente link per confermare o ignorare la sua richiesta di amicizia:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_POST_USER_TITLE";"Post sul profilo"
"_EMAIL_NOTIFY_POST_USER_DESCRIPTION";"This email is sent to the member when someone has posted something on the member's profile."
"_EMAIL_NOTIFY_POST_USER_SUBJECT";"[sender_title] ha postato sul tuo profilo"
"_EMAIL_NOTIFY_POST_USER_BODY";"[header]

[sender_title] ha pubblicato qualcosa sul tuo profilo. Clicca sul seguente link per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_TAGGED_TITLE";"Tagged"
"_EMAIL_NOTIFY_TAGGED_DESCRIPTION";"This email is sent to the member when someone tags them."
"_EMAIL_NOTIFY_TAGGED_SUBJECT";"Sei stato taggato"
"_EMAIL_NOTIFY_TAGGED_BODY";"[header]

Sei stato taggato in una [object_type_name]. Clicca sul seguente link per vederlo:

http://[host][object_link]

[footer]"
"%s likes this.";"Piace a %s.";"A %s questo elemento."
"This activity item has been removed.";"This activity item has been removed."
"Comment has been deleted";"Comment has been deleted"
"You do not have the privilege to delete this comment";"You do not have the privilege to delete this comment"
"... &nbsp;";"... &nbsp;"
"more";"more"
"less";"less"
"You have no notifications.";"Non hai notifiche."
"You have no requests.";"Non hai richieste."
"Publish this on Facebook";"Publish this on Facebook"
"Share this by re-posting it with your own message.";"Se vuoi, puoi aggiungere subito anche un tuo commento."
"Delete Activity Item?";"Delete Activity Item?"
"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone.";"Are you sure that you want to delete this activity item and all of its comments? This action cannot be undone."
"Activity";"Activity"
"ADMIN_ACTIVITY_TYPE_ACTIVITY_COMMENT";"Quando qualcuno commenta qualcosa che io ho postato."
"ADMIN_ACTIVITY_TYPE_ACTIVITY_LIKE";"Quando a qualcuno piace qalcosa che io ho postato."
"ADMIN_ACTIVITY_TYPE_ACTIVITY_POST";"Quando qualcuno posta qualcosa nel mio profilo."
"ADMIN_ACTIVITY_TYPE_FRIEND_ACCEPTED";"Quando qualcuno accetta una mia richiesta di amicizia."
"ADMIN_ACTIVITY_TYPE_FRIEND_REQUEST";"Quando ricevo una richiesta di amicizia."
"ADMIN_ACTIVITY_TYPE_MESSAGE_NEW";"Quando ricevo un messaggio."
"ADMIN_ACTIVITY_TYPE_POST_COMMENTED_COMMENTED";"Quando qualcuno commenta un post che io ho commentato."
"ADMIN_ACTIVITY_TYPE_POST_LIKED_COMMENTED";"Quando a qualcuno piace un post che io ho commentato."
"ADMIN_ACTIVITY_TYPE_COMMENTED_ACTIVITY_ACTION";"Quando qualcuno commenta un'attività che ho commentato anch'io"
"ADMIN_ACTIVITY_TYPE_COMMENTED_CORE_LINK";"Quando qualcuno commenta un link che io ho commentato."
"ADMIN_ACTIVITY_TYPE_COMMENT_ACTIVITY_ACTION";"Quando qualcuno commenta la mia attività."
"ADMIN_ACTIVITY_TYPE_COMMENT_CORE_LINK";"Quando qualcuno commenta uno dei links."
"ADMIN_ACTIVITY_TYPE_COMMENT_USER";"Quando qualcuno commenta il mio profilo."
"ADMIN_ACTIVITY_TYPE_LIKED_ACTIVITY_ACTION";"Quando qualcuna un'attività che mi piace."
"ADMIN_ACTIVITY_TYPE_LIKED_CORE_LINK";"Quando qualcuno commenta un link che mi piace."
"ADMIN_ACTIVITY_TYPE_LIKE_ACTIVITY_ACTION";"Quando a qualcuno piace la mia attività."
"ADMIN_ACTIVITY_TYPE_LIKE_CORE_LINK";"Quando a qualcuno piace uno dei miei links."
"ADMIN_ACTIVITY_TYPE_COMMENTED";"Quando viene commentato ciò che io pubblico."
"ADMIN_ACTIVITY_TYPE_LIKED";"Quando a qualcuno piace ciò che io pubblico."
"ADMIN_ACTIVITY_TYPE_COMMENTED_COMMENTED";"Quando qualcuno commenta lo stesso post che commento io."
"ADMIN_ACTIVITY_TYPE_LIKED_COMMENTED";"Quando qualcuno commenta qualcosa che mi piace."
"ADMIN_ACTIVITY_TYPE_POST_USER";"Quando qualcuno pubblica qualcosa sul mio profilo."
"ADMIN_ACTIVITY_TYPE_TAGGED";"Quando vengo taggato in foto di altri profili."
"ADMIN_ACTIVITY_TYPE_FRIENDS";"Quando due iscritti fanno amicizia."
"ADMIN_ACTIVITY_TYPE_FRIEND_FOLLOW";"Quando qualcuno comincia a seguirmi."
"ADMIN_ACTIVITY_TYPE_FRIEND_FOLLOW_ACCEPTED";"Quando qualcuno accetta la mia richiesta di seguirlo."
"ADMIN_ACTIVITY_TYPE_FRIEND_FOLLOW_REQUEST";"Quando ricevo la richiesta di qualcuno di essere seguito."
"ADMIN_ACTIVITY_TYPE_FRIENDS_FOLLOW";"Quando qualcuno comincia a seguirmi."
"ADMIN_ACTIVITY_TYPE_LOGIN";"Quando qualccuno effettua il login."
"ADMIN_ACTIVITY_TYPE_LOGOUT";"Quando qualcuno effettua il logout."
"ADMIN_ACTIVITY_TYPE_POST";"Quando io posto qualcosa su un profilo di altri."
"ADMIN_ACTIVITY_TYPE_POST_SELF";"Quando pubblico un allegato."
"ADMIN_ACTIVITY_TYPE_PROFILE_PHOTO_UPDATE";"Quando viene aggiornata la foto del profilo di qualcuno."
"ADMIN_ACTIVITY_TYPE_SIGNUP";"When a new member signs up."
"ADMIN_ACTIVITY_TYPE_STATUS";"When a status update is posted."
"ADMIN_ACTIVITY_TYPE_FIELDS_CHANGE_GENERIC";"Quando aggiorno il mio profilo"
"ADMIN_ACTIVITY_TYPE_NETWORK_JOIN";"Quando mi iscrivo ad un Network"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_DESCRIPTION";"The recent activity feed is an auto-updating list of actions that have recently occurred on your social network. This information is displayed (by default) on users' My Home"" page. Also, each user's own personal activity list will be displayed on their profile page if enabled below. Please note that some of the settings here are not retroactive, meaning that changes you make here may not affect old feed items."""
"Allowed Feed Items";"Allowed Feed Items"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_ALLOWED_DESCRIPTION";"Which feed items do you want to be shown in the recent activity feed?"
"Overall Feed Length";"Overall Feed Length"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_LENGTH_DESCRIPTION";"How many total items do you want the main activity feed to display at any given time?"
"ACTIVITY_FORUM_ADMIN_SETTINGS_GENERAL_LENGTH_OPTION1";"5"
"ACTIVITY_FORUM_ADMIN_SETTINGS_GENERAL_LENGTH_OPTION2";"10"
"Item Limit Per User";"Item Limit Per User"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_USERLENGTH_DESCRIPTION";"How many items per user can be shown on the recent activity feed? It's important to have a nice mix of items from various users on your social network, so here you can set a limit on the number of items published about each user at any given time. For smaller social networks, a highernumber of published items per user might be more appropriate."
"ACTIVITY_FORUM_ADMIN_SETTINGS_GENERAL_USERLENGTH_OPTION1";"5"
"ACTIVITY_FORUM_ADMIN_SETTINGS_GENERAL_USERLENGTH_OPTION2";"10"
"Update Frequency";"Update Frequency"
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_LIVEUPDATE_DESCRIPTION";"The application connects to your server (using AJAX) every few seconds to check if there are any new updates to the activity feed. How often do you want this process to occur? A shorter amount of time will consume more server resources. If your server is experiencing slowdown issues, try lowering the frequency the application checks for updates."
